sep=;
time;model_id;model_name;port_name;data
0;1;(0,1);;<7,7,0>
0;2;(0,0);;<3,3,0>
0;3;(1,0);;<4,4,0>
0;4;(1,1);;<0,0,0>
0;1;(0,1);outputNeighborhood;<7,7,0>
0;1;(0,1);;<7,7,3>
0;2;(0,0);outputNeighborhood;<3,3,0>
0;2;(0,0);;<3,3,11>
0;3;(1,0);outputNeighborhood;<4,4,0>
0;3;(1,0);;<4,4,3>
0;4;(1,1);outputNeighborhood;<0,0,0>
0;4;(1,1);;<0,0,11>
1;1;(0,1);outputNeighborhood;<7,7,3>
1;1;(0,1);;<7,0,9>
1;2;(0,0);outputNeighborhood;<3,3,11>
1;2;(0,0);;<3,3,17>
1;3;(1,0);outputNeighborhood;<4,4,3>
1;3;(1,0);;<4,0,10>
1;4;(1,1);outputNeighborhood;<0,0,11>
1;4;(1,1);;<0,0,18>
2;1;(0,1);outputNeighborhood;<7,0,9>
2;1;(0,1);;<7,0,15>
2;2;(0,0);outputNeighborhood;<3,3,17>
2;2;(0,0);;<3,3,23>
2;3;(1,0);outputNeighborhood;<4,0,10>
2;3;(1,0);;<4,0,17>
2;4;(1,1);outputNeighborhood;<0,0,18>
2;4;(1,1);;<0,0,25>
3;1;(0,1);outputNeighborhood;<7,0,15>
3;1;(0,1);;<7,0,21>
3;2;(0,0);outputNeighborhood;<3,3,23>
3;2;(0,0);;<3,3,29>
3;3;(1,0);outputNeighborhood;<4,0,17>
3;3;(1,0);;<4,0,24>
3;4;(1,1);outputNeighborhood;<0,0,25>
3;4;(1,1);;<0,0,32>
4;1;(0,1);outputNeighborhood;<7,0,21>
4;1;(0,1);;<7,0,27>
4;2;(0,0);outputNeighborhood;<3,3,29>
4;2;(0,0);;<3,3,35>
4;3;(1,0);outputNeighborhood;<4,0,24>
4;3;(1,0);;<4,0,31>
4;4;(1,1);outputNeighborhood;<0,0,32>
4;4;(1,1);;<0,0,39>
5;1;(0,1);outputNeighborhood;<7,0,27>
5;1;(0,1);;<7,0,33>
5;2;(0,0);outputNeighborhood;<3,3,35>
5;2;(0,0);;<3,3,41>
5;3;(1,0);outputNeighborhood;<4,0,31>
5;3;(1,0);;<4,0,38>
5;4;(1,1);outputNeighborhood;<0,0,39>
5;4;(1,1);;<0,0,46>
6;1;(0,1);outputNeighborhood;<7,0,33>
6;1;(0,1);;<7,0,39>
6;2;(0,0);outputNeighborhood;<3,3,41>
6;2;(0,0);;<3,3,47>
6;3;(1,0);outputNeighborhood;<4,0,38>
6;3;(1,0);;<4,0,45>
6;4;(1,1);outputNeighborhood;<0,0,46>
6;4;(1,1);;<0,0,53>
7;1;(0,1);outputNeighborhood;<7,0,39>
7;1;(0,1);;<7,0,45>
7;2;(0,0);outputNeighborhood;<3,3,47>
7;2;(0,0);;<3,3,53>
7;3;(1,0);outputNeighborhood;<4,0,45>
7;3;(1,0);;<4,0,52>
7;4;(1,1);outputNeighborhood;<0,0,53>
7;4;(1,1);;<0,0,60>
8;1;(0,1);outputNeighborhood;<7,0,45>
8;1;(0,1);;<7,0,51>
8;2;(0,0);outputNeighborhood;<3,3,53>
8;2;(0,0);;<3,3,59>
8;3;(1,0);outputNeighborhood;<4,0,52>
8;3;(1,0);;<4,0,59>
8;4;(1,1);outputNeighborhood;<0,0,60>
8;4;(1,1);;<0,0,67>
9;1;(0,1);outputNeighborhood;<7,0,51>
9;1;(0,1);;<7,0,57>
9;2;(0,0);outputNeighborhood;<3,3,59>
9;2;(0,0);;<3,3,65>
9;3;(1,0);outputNeighborhood;<4,0,59>
9;3;(1,0);;<4,0,66>
9;4;(1,1);outputNeighborhood;<0,0,67>
9;4;(1,1);;<0,0,74>
10;1;(0,1);outputNeighborhood;<7,0,57>
10;1;(0,1);;<7,0,63>
10;2;(0,0);outputNeighborhood;<3,3,65>
10;2;(0,0);;<3,3,71>
10;3;(1,0);outputNeighborhood;<4,0,66>
10;3;(1,0);;<4,0,73>
10;4;(1,1);outputNeighborhood;<0,0,74>
10;4;(1,1);;<0,0,81>
11;1;(0,1);outputNeighborhood;<7,0,63>
11;1;(0,1);;<7,0,69>
11;2;(0,0);outputNeighborhood;<3,3,71>
11;2;(0,0);;<3,3,77>
11;3;(1,0);outputNeighborhood;<4,0,73>
11;3;(1,0);;<4,0,80>
11;4;(1,1);outputNeighborhood;<0,0,81>
11;4;(1,1);;<0,0,88>
12;1;(0,1);outputNeighborhood;<7,0,69>
12;1;(0,1);;<7,0,75>
12;2;(0,0);outputNeighborhood;<3,3,77>
12;2;(0,0);;<3,3,83>
12;3;(1,0);outputNeighborhood;<4,0,80>
12;3;(1,0);;<4,0,87>
12;4;(1,1);outputNeighborhood;<0,0,88>
12;4;(1,1);;<0,0,95>
13;1;(0,1);outputNeighborhood;<7,0,75>
13;1;(0,1);;<7,0,81>
13;2;(0,0);outputNeighborhood;<3,3,83>
13;2;(0,0);;<3,3,89>
13;3;(1,0);outputNeighborhood;<4,0,87>
13;3;(1,0);;<4,0,94>
13;4;(1,1);outputNeighborhood;<0,0,95>
13;4;(1,1);;<0,0,102>
14;1;(0,1);outputNeighborhood;<7,0,81>
14;1;(0,1);;<7,0,87>
14;2;(0,0);outputNeighborhood;<3,3,89>
14;2;(0,0);;<3,3,95>
14;3;(1,0);outputNeighborhood;<4,0,94>
14;3;(1,0);;<4,0,101>
14;4;(1,1);outputNeighborhood;<0,0,102>
14;4;(1,1);;<0,0,109>
15;1;(0,1);outputNeighborhood;<7,0,87>
15;1;(0,1);;<7,0,93>
15;2;(0,0);outputNeighborhood;<3,3,95>
15;2;(0,0);;<3,3,101>
15;3;(1,0);outputNeighborhood;<4,0,101>
15;3;(1,0);;<4,0,108>
15;4;(1,1);outputNeighborhood;<0,0,109>
15;4;(1,1);;<0,0,116>
16;1;(0,1);outputNeighborhood;<7,0,93>
16;1;(0,1);;<7,0,99>
16;2;(0,0);outputNeighborhood;<3,3,101>
16;2;(0,0);;<3,4,107>
16;3;(1,0);outputNeighborhood;<4,0,108>
16;3;(1,0);;<4,0,115>
16;4;(1,1);outputNeighborhood;<0,0,116>
16;4;(1,1);;<0,0,123>
17;1;(0,1);outputNeighborhood;<7,0,99>
17;1;(0,1);;<7,0,105>
17;2;(0,0);outputNeighborhood;<3,4,107>
17;2;(0,0);;<3,4,113>
17;3;(1,0);outputNeighborhood;<4,0,115>
17;3;(1,0);;<4,0,122>
17;4;(1,1);outputNeighborhood;<0,0,123>
17;4;(1,1);;<0,0,130>
18;1;(0,1);outputNeighborhood;<7,0,105>
18;1;(0,1);;<7,0,111>
18;2;(0,0);outputNeighborhood;<3,4,113>
18;2;(0,0);;<3,4,119>
18;3;(1,0);outputNeighborhood;<4,0,122>
18;3;(1,0);;<4,0,129>
18;4;(1,1);outputNeighborhood;<0,0,130>
18;4;(1,1);;<0,0,137>
19;1;(0,1);outputNeighborhood;<7,0,111>
19;1;(0,1);;<7,0,117>
19;2;(0,0);outputNeighborhood;<3,4,119>
19;2;(0,0);;<3,4,125>
19;3;(1,0);outputNeighborhood;<4,0,129>
19;3;(1,0);;<4,0,136>
19;4;(1,1);outputNeighborhood;<0,0,137>
19;4;(1,1);;<0,0,144>
20;1;(0,1);outputNeighborhood;<7,0,117>
20;1;(0,1);;<7,0,123>
20;2;(0,0);outputNeighborhood;<3,4,125>
20;2;(0,0);;<3,4,131>
20;3;(1,0);outputNeighborhood;<4,0,136>
20;3;(1,0);;<4,0,143>
20;4;(1,1);outputNeighborhood;<0,0,144>
20;4;(1,1);;<0,0,151>
21;1;(0,1);outputNeighborhood;<7,0,123>
21;1;(0,1);;<7,0,129>
21;2;(0,0);outputNeighborhood;<3,4,131>
21;2;(0,0);;<3,4,137>
21;3;(1,0);outputNeighborhood;<4,0,143>
21;3;(1,0);;<4,0,150>
21;4;(1,1);outputNeighborhood;<0,0,151>
21;4;(1,1);;<0,0,158>
22;1;(0,1);outputNeighborhood;<7,0,129>
22;1;(0,1);;<7,0,135>
22;2;(0,0);outputNeighborhood;<3,4,137>
22;2;(0,0);;<3,4,143>
22;3;(1,0);outputNeighborhood;<4,0,150>
22;3;(1,0);;<4,0,157>
22;4;(1,1);outputNeighborhood;<0,0,158>
22;4;(1,1);;<0,0,165>
23;1;(0,1);outputNeighborhood;<7,0,135>
23;1;(0,1);;<7,0,141>
23;2;(0,0);outputNeighborhood;<3,4,143>
23;2;(0,0);;<3,4,149>
23;3;(1,0);outputNeighborhood;<4,0,157>
23;3;(1,0);;<4,0,164>
23;4;(1,1);outputNeighborhood;<0,0,165>
23;4;(1,1);;<0,0,172>
24;1;(0,1);outputNeighborhood;<7,0,141>
24;1;(0,1);;<7,0,147>
24;2;(0,0);outputNeighborhood;<3,4,149>
24;2;(0,0);;<3,4,155>
24;3;(1,0);outputNeighborhood;<4,0,164>
24;3;(1,0);;<4,0,171>
24;4;(1,1);outputNeighborhood;<0,0,172>
24;4;(1,1);;<0,0,179>
25;1;(0,1);outputNeighborhood;<7,0,147>
25;1;(0,1);;<7,0,153>
25;2;(0,0);outputNeighborhood;<3,4,155>
25;2;(0,0);;<3,4,161>
25;3;(1,0);outputNeighborhood;<4,0,171>
25;3;(1,0);;<4,0,178>
25;4;(1,1);outputNeighborhood;<0,0,179>
25;4;(1,1);;<0,0,186>
26;1;(0,1);outputNeighborhood;<7,0,153>
26;1;(0,1);;<7,0,159>
26;2;(0,0);outputNeighborhood;<3,4,161>
26;2;(0,0);;<3,4,167>
26;3;(1,0);outputNeighborhood;<4,0,178>
26;3;(1,0);;<4,0,185>
26;4;(1,1);outputNeighborhood;<0,0,186>
26;4;(1,1);;<0,0,193>
27;1;(0,1);outputNeighborhood;<7,0,159>
27;1;(0,1);;<7,0,165>
27;2;(0,0);outputNeighborhood;<3,4,167>
27;2;(0,0);;<3,4,173>
27;3;(1,0);outputNeighborhood;<4,0,185>
27;3;(1,0);;<4,0,192>
27;4;(1,1);outputNeighborhood;<0,0,193>
27;4;(1,1);;<0,0,200>
28;1;(0,1);outputNeighborhood;<7,0,165>
28;1;(0,1);;<7,0,171>
28;2;(0,0);outputNeighborhood;<3,4,173>
28;2;(0,0);;<3,4,179>
28;3;(1,0);outputNeighborhood;<4,0,192>
28;3;(1,0);;<4,0,199>
28;4;(1,1);outputNeighborhood;<0,0,200>
28;4;(1,1);;<0,0,207>
29;1;(0,1);outputNeighborhood;<7,0,171>
29;1;(0,1);;<7,0,177>
29;2;(0,0);outputNeighborhood;<3,4,179>
29;2;(0,0);;<3,4,185>
29;3;(1,0);outputNeighborhood;<4,0,199>
29;3;(1,0);;<4,0,206>
29;4;(1,1);outputNeighborhood;<0,0,207>
29;4;(1,1);;<0,0,214>
30;1;(0,1);outputNeighborhood;<7,0,177>
30;1;(0,1);;<7,0,183>
30;2;(0,0);outputNeighborhood;<3,4,185>
30;2;(0,0);;<3,4,191>
30;3;(1,0);outputNeighborhood;<4,0,206>
30;3;(1,0);;<4,0,213>
30;4;(1,1);outputNeighborhood;<0,0,214>
30;4;(1,1);;<0,0,221>
31;1;(0,1);outputNeighborhood;<7,0,183>
31;1;(0,1);;<7,0,189>
31;2;(0,0);outputNeighborhood;<3,4,191>
31;2;(0,0);;<3,4,197>
31;3;(1,0);outputNeighborhood;<4,0,213>
31;3;(1,0);;<4,0,220>
31;4;(1,1);outputNeighborhood;<0,0,221>
31;4;(1,1);;<0,0,228>
32;1;(0,1);outputNeighborhood;<7,0,189>
32;1;(0,1);;<7,0,195>
32;2;(0,0);outputNeighborhood;<3,4,197>
32;2;(0,0);;<3,4,203>
32;3;(1,0);outputNeighborhood;<4,0,220>
32;3;(1,0);;<4,0,227>
32;4;(1,1);outputNeighborhood;<0,0,228>
32;4;(1,1);;<0,0,235>
33;1;(0,1);outputNeighborhood;<7,0,195>
33;1;(0,1);;<7,0,201>
33;2;(0,0);outputNeighborhood;<3,4,203>
33;2;(0,0);;<3,4,209>
33;3;(1,0);outputNeighborhood;<4,0,227>
33;3;(1,0);;<4,0,234>
33;4;(1,1);outputNeighborhood;<0,0,235>
33;4;(1,1);;<0,0,242>
34;1;(0,1);outputNeighborhood;<7,0,201>
34;1;(0,1);;<7,0,207>
34;2;(0,0);outputNeighborhood;<3,4,209>
34;2;(0,0);;<3,4,215>
34;3;(1,0);outputNeighborhood;<4,0,234>
34;3;(1,0);;<4,0,241>
34;4;(1,1);outputNeighborhood;<0,0,242>
34;4;(1,1);;<0,0,249>
35;1;(0,1);outputNeighborhood;<7,0,207>
35;1;(0,1);;<7,0,213>
35;2;(0,0);outputNeighborhood;<3,4,215>
35;2;(0,0);;<3,4,221>
35;3;(1,0);outputNeighborhood;<4,0,241>
35;3;(1,0);;<4,0,248>
35;4;(1,1);outputNeighborhood;<0,0,249>
35;4;(1,1);;<0,0,256>
36;1;(0,1);outputNeighborhood;<7,0,213>
36;1;(0,1);;<7,0,219>
36;2;(0,0);outputNeighborhood;<3,4,221>
36;2;(0,0);;<3,4,227>
36;3;(1,0);outputNeighborhood;<4,0,248>
36;3;(1,0);;<4,0,255>
36;4;(1,1);outputNeighborhood;<0,0,256>
36;4;(1,1);;<0,0,263>
37;1;(0,1);outputNeighborhood;<7,0,219>
37;1;(0,1);;<7,0,225>
37;2;(0,0);outputNeighborhood;<3,4,227>
37;2;(0,0);;<3,4,233>
37;3;(1,0);outputNeighborhood;<4,0,255>
37;3;(1,0);;<4,0,262>
37;4;(1,1);outputNeighborhood;<0,0,263>
37;4;(1,1);;<0,0,270>
38;1;(0,1);outputNeighborhood;<7,0,225>
38;1;(0,1);;<7,0,231>
38;2;(0,0);outputNeighborhood;<3,4,233>
38;2;(0,0);;<3,4,239>
38;3;(1,0);outputNeighborhood;<4,0,262>
38;3;(1,0);;<4,0,269>
38;4;(1,1);outputNeighborhood;<0,0,270>
38;4;(1,1);;<0,0,277>
39;1;(0,1);outputNeighborhood;<7,0,231>
39;1;(0,1);;<7,0,237>
39;2;(0,0);outputNeighborhood;<3,4,239>
39;2;(0,0);;<3,4,245>
39;3;(1,0);outputNeighborhood;<4,0,269>
39;3;(1,0);;<4,0,276>
39;4;(1,1);outputNeighborhood;<0,0,277>
39;4;(1,1);;<0,0,284>
40;1;(0,1);outputNeighborhood;<7,0,237>
40;1;(0,1);;<7,0,243>
40;2;(0,0);outputNeighborhood;<3,4,245>
40;2;(0,0);;<3,4,251>
40;3;(1,0);outputNeighborhood;<4,0,276>
40;3;(1,0);;<4,0,283>
40;4;(1,1);outputNeighborhood;<0,0,284>
40;4;(1,1);;<0,0,291>
41;1;(0,1);outputNeighborhood;<7,0,243>
41;1;(0,1);;<7,0,249>
41;2;(0,0);outputNeighborhood;<3,4,251>
41;2;(0,0);;<3,4,257>
41;3;(1,0);outputNeighborhood;<4,0,283>
41;3;(1,0);;<4,0,290>
41;4;(1,1);outputNeighborhood;<0,0,291>
41;4;(1,1);;<0,0,298>
42;1;(0,1);outputNeighborhood;<7,0,249>
42;1;(0,1);;<7,0,255>
42;2;(0,0);outputNeighborhood;<3,4,257>
42;2;(0,0);;<3,4,263>
42;3;(1,0);outputNeighborhood;<4,0,290>
42;3;(1,0);;<4,0,297>
42;4;(1,1);outputNeighborhood;<0,0,298>
42;4;(1,1);;<0,0,305>
43;1;(0,1);outputNeighborhood;<7,0,255>
43;1;(0,1);;<7,0,261>
43;2;(0,0);outputNeighborhood;<3,4,263>
43;2;(0,0);;<3,4,269>
43;3;(1,0);outputNeighborhood;<4,0,297>
43;3;(1,0);;<4,0,304>
43;4;(1,1);outputNeighborhood;<0,0,305>
43;4;(1,1);;<0,0,312>
44;1;(0,1);outputNeighborhood;<7,0,261>
44;1;(0,1);;<7,0,267>
44;2;(0,0);outputNeighborhood;<3,4,269>
44;2;(0,0);;<3,4,275>
44;3;(1,0);outputNeighborhood;<4,0,304>
44;3;(1,0);;<4,0,311>
44;4;(1,1);outputNeighborhood;<0,0,312>
44;4;(1,1);;<0,0,319>
45;1;(0,1);outputNeighborhood;<7,0,267>
45;1;(0,1);;<7,0,273>
45;2;(0,0);outputNeighborhood;<3,4,275>
45;2;(0,0);;<3,4,281>
45;3;(1,0);outputNeighborhood;<4,0,311>
45;3;(1,0);;<4,0,318>
45;4;(1,1);outputNeighborhood;<0,0,319>
45;4;(1,1);;<0,0,326>
46;1;(0,1);outputNeighborhood;<7,0,273>
46;1;(0,1);;<7,0,279>
46;2;(0,0);outputNeighborhood;<3,4,281>
46;2;(0,0);;<3,4,287>
46;3;(1,0);outputNeighborhood;<4,0,318>
46;3;(1,0);;<4,0,325>
46;4;(1,1);outputNeighborhood;<0,0,326>
46;4;(1,1);;<0,0,333>
47;1;(0,1);outputNeighborhood;<7,0,279>
47;1;(0,1);;<7,0,285>
47;2;(0,0);outputNeighborhood;<3,4,287>
47;2;(0,0);;<3,4,293>
47;3;(1,0);outputNeighborhood;<4,0,325>
47;3;(1,0);;<4,0,332>
47;4;(1,1);outputNeighborhood;<0,0,333>
47;4;(1,1);;<0,0,340>
48;1;(0,1);outputNeighborhood;<7,0,285>
48;1;(0,1);;<7,0,291>
48;2;(0,0);outputNeighborhood;<3,4,293>
48;2;(0,0);;<3,4,299>
48;3;(1,0);outputNeighborhood;<4,0,332>
48;3;(1,0);;<4,0,339>
48;4;(1,1);outputNeighborhood;<0,0,340>
48;4;(1,1);;<0,0,347>
49;1;(0,1);outputNeighborhood;<7,0,291>
49;1;(0,1);;<7,0,297>
49;2;(0,0);outputNeighborhood;<3,4,299>
49;2;(0,0);;<3,4,305>
49;3;(1,0);outputNeighborhood;<4,0,339>
49;3;(1,0);;<4,0,346>
49;4;(1,1);outputNeighborhood;<0,0,347>
49;4;(1,1);;<0,0,354>
50;1;(0,1);outputNeighborhood;<7,0,297>
50;1;(0,1);;<7,0,303>
50;2;(0,0);outputNeighborhood;<3,4,305>
50;2;(0,0);;<3,4,311>
50;3;(1,0);outputNeighborhood;<4,0,346>
50;3;(1,0);;<4,0,353>
50;4;(1,1);outputNeighborhood;<0,0,354>
50;4;(1,1);;<0,0,361>
51;1;(0,1);outputNeighborhood;<7,0,303>
51;1;(0,1);;<7,0,309>
51;2;(0,0);outputNeighborhood;<3,4,311>
51;2;(0,0);;<3,4,317>
51;3;(1,0);outputNeighborhood;<4,0,353>
51;3;(1,0);;<4,0,360>
51;4;(1,1);outputNeighborhood;<0,0,361>
51;4;(1,1);;<0,0,368>
52;1;(0,1);outputNeighborhood;<7,0,309>
52;1;(0,1);;<7,0,315>
52;2;(0,0);outputNeighborhood;<3,4,317>
52;2;(0,0);;<3,4,323>
52;3;(1,0);outputNeighborhood;<4,0,360>
52;3;(1,0);;<4,0,367>
52;4;(1,1);outputNeighborhood;<0,0,368>
52;4;(1,1);;<0,0,375>
53;1;(0,1);outputNeighborhood;<7,0,315>
53;1;(0,1);;<7,0,321>
53;2;(0,0);outputNeighborhood;<3,4,323>
53;2;(0,0);;<3,4,329>
53;3;(1,0);outputNeighborhood;<4,0,367>
53;3;(1,0);;<4,0,374>
53;4;(1,1);outputNeighborhood;<0,0,375>
53;4;(1,1);;<0,0,382>
54;1;(0,1);outputNeighborhood;<7,0,321>
54;1;(0,1);;<7,0,327>
54;2;(0,0);outputNeighborhood;<3,4,329>
54;2;(0,0);;<3,4,335>
54;3;(1,0);outputNeighborhood;<4,0,374>
54;3;(1,0);;<4,0,381>
